statusId,status
1,Engine
6,Gearbox
7,Transmission
8,Clutch
9,Hydraulics
10,Electrical
20,Spun off
21,Radiator
22,Suspension
23,Brakes
24,Differential
25,Overheating
26,Mechanical
27,Tyre
28,Driver Seat
29,Puncture
30,Driveshaft
31,Retired
32,Fuel pressure
33,Front wing
34,Water pressure
35,Refuelling
36,Wheel
37,Throttle
38,Steering
39,Technical
40,Electronics
41,Broken wing
42,Heat shield fire
43,Exhaust
44,Oil leak
46,Wheel rim
47,Water leak
48,Fuel pump
49,Track rod
51,Oil pressure
56,Engine fire
129,Engine misfire
59,Tyre puncture
60,Out of fuel
61,Wheel nut
62,Not classified
63,Pneumatics
64,Handling
65,Rear wing
66,Fire
67,Wheel bearing
68,Physical
69,Fuel system
70,Oil line
71,Fuel rig
72,Launch control
74,Fuel
75,Power loss
76,Vibrations
77,107% Rule
78,Safety
79,Drivetrain
80,Ignition
83,Chassis
84,Battery
85,Stalled
86,Halfshaft
87,Crankshaft
89,Safety concerns
90,Not restarted
91,Alternator
93,Safety belt
94,Oil pump
95,Fuel leak
98,Injection
99,Distributor
101,Turbo
102,CV joint
103,Water pump
104,Fatal accident
105,Spark plugs
106,Fuel pipe
108,Oil pipe
109,Axle
110,Water pipe
121,Magneto
126,Supercharger
130,Collision damage
131,Power Unit
132,ERS
135,Brake duct
136,Seat
137,Damage
138,Debris
