Constructor Name,Titles,Points,Wins,Nationality
Ferrari,16,2111,117,Italian
Williams,9,1241,75,British
McLaren,8,1063,70,British
Mercedes,8,5107,106,German
Team Lotus,4,298,26,British
Red Bull,4,2204,41,Austrian
Renault,2,397,16,French
Cooper-Climax,2,88,11,British
Lotus-Climax,2,108,13,British
Brabham-Repco,2,105,8,British
Benetton,1,147,11,Italian
Brawn,1,172,8,British
Tyrrell,1,73,7,British
BRM,1,42,4,British
Vanwall,1,48,6,British
Lotus-Ford,1,62,5,British
Matra-Ford,1,66,6,French
